IndvID	Population	Probability	AFR,AJ,AMR,DOMI,EAS,EUR,SAS	EigenValues
RU633	AFR	0.91894813190676328	0.92,0.0,0.0,0.07,0.01,0.0,0.0	0.0232,0.0008,0.0031,-0.0009,0.0080,-0.0035,-0.0219,0.0222,0.0001,0.0136
RU641	EUR	0.97428571428571431	0.0,0.02,0.0,0.01,0.0,0.97,0.0	-0.0103,0.0182,0.0069,-0.0124,0.0227,0.0127,0.0037,0.0288,-0.0045,0.0063
RU646	AJ	0.89863230044808984	0.0,0.9,0.01,0.0,0.02,0.07,0.0	-0.0096,0.0158,0.0054,-0.0158,-0.0516,-0.0084,-0.0127,-0.0082,0.0072,-0.0528
RU651	EUR	0.99916666666666676	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0101,0.0171,0.0073,-0.0050,0.0296,0.0010,-0.0059,-0.0040,-0.0107,-0.0164
RU655	EUR	0.78437504629499499	0.04,0.06,0.03,0.09,0.0,0.78,0.0	-0.0089,0.0159,0.0040,-0.0061,0.0203,-0.0116,-0.0061,-0.0228,-0.0005,0.0208
RU667	DOMI	0.55960343486828412	0.2,0.0,0.23,0.56,0.0,0.0,0.0	0.0148,0.0027,0.0080,0.0042,0.0088,0.0101,0.0278,0.0094,-0.0255,-0.0069
RU670	AMR	0.66930367463134854	0.17,0.0,0.67,0.13,0.0,0.03,0.0	-0.0045,0.0113,0.0155,0.0056,0.0123,-0.0119,-0.0119,-0.0124,0.0108,-0.0262
RU672	AFR	0.50330989693911665	0.5,0.0,0.05,0.4,0.02,0.02,0.0	0.0153,0.0025,0.0014,0.0028,-0.0028,0.0087,-0.0124,0.0251,-0.0037,0.0061
RU680	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0110,0.0188,0.0042,-0.0069,0.0175,0.0085,0.0152,0.0113,0.0027,0.0232
RU685	EUR	0.99199999999999999	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0106,0.0175,0.0069,-0.0072,0.0241,0.0026,0.0102,-0.0187,-0.0073,-0.0072
RU694	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0272,-0.0002,0.0010,-0.0034,-0.0003,0.0001,-0.0033,-0.0039,0.0054,0.0017
RU697	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0106,0.0162,0.0062,-0.0082,0.0196,0.0156,0.0125,0.0216,-0.0063,-0.0186
RU698	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0171,0.0062,-0.0049,0.0216,0.0030,-0.0013,0.0292,0.0086,0.0107
RU702	EUR	0.98964387464387471	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0108,0.0180,0.0034,-0.0061,0.0153,-0.0048,0.0007,0.0106,-0.0144,0.0332
RU711	EUR	0.98906134453781513	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0105,0.0166,0.0094,-0.0055,0.0221,-0.0175,-0.0192,-0.0048,0.0035,-0.0116
RU714	EUR	0.96352609356064733	0.0,0.03,0.0,0.0,0.0,0.96,0.0	-0.0099,0.0170,0.0045,-0.0101,-0.0014,-0.0074,-0.0242,0.0423,0.0018,-0.0204
RU715	AJ	0.94957575757575752	0.0,0.95,0.0,0.0,0.0,0.05,0.0	-0.0093,0.0143,0.0043,-0.0118,-0.0366,0.0088,0.0295,-0.0016,0.0179,-0.0086
RU718	AJ	0.93532222222222228	0.0,0.94,0.01,0.01,0.0,0.05,0.0	-0.0080,0.0159,0.0040,-0.0077,-0.0447,-0.0193,-0.0318,0.0151,-0.0087,0.0060
RU725	AFR	0.97789139877061826	0.98,0.0,0.0,0.02,0.0,0.0,0.0	0.0233,0.0016,0.0014,-0.0036,0.0052,0.0059,0.0070,-0.0138,-0.0111,0.0055
RU727	EUR	0.84513746438746451	0.03,0.11,0.0,0.0,0.01,0.85,0.0	-0.0107,0.0155,0.0004,-0.0090,0.0198,0.0013,-0.0103,-0.0211,0.0005,0.0146
RU729	EUR	0.95773769460150537	0.0,0.01,0.01,0.02,0.0,0.96,0.0	-0.0089,0.0178,0.0070,-0.0089,0.0146,0.0081,-0.0121,0.0044,-0.0004,-0.0362
RU736	EUR	0.94741876750700271	0.0,0.0,0.0,0.0,0.05,0.95,0.0	-0.0116,0.0199,0.0094,-0.0051,0.0246,-0.0117,-0.0175,0.0249,0.0095,-0.0241
RU740	EUR	0.97764285714285704	0.0,0.0,0.02,0.0,0.0,0.98,0.0	-0.0100,0.0165,0.0075,-0.0068,0.0225,-0.0007,-0.0207,-0.0148,0.0139,-0.0125
RU743	EUR	0.98464912280701755	0.0,0.01,0.0,0.0,0.0,0.98,0.0	-0.0097,0.0177,0.0075,-0.0104,0.0243,0.0007,-0.0135,0.0106,0.0087,-0.0364
RU746	AFR	0.86360820896420865	0.86,0.0,0.01,0.12,0.0,0.0,0.0	0.0213,0.0026,0.0039,0.0015,0.0032,-0.0038,0.0044,-0.0052,-0.0117,0.0011
RU753	EUR	0.95973227185611099	0.0,0.0,0.03,0.01,0.0,0.96,0.0	-0.0108,0.0161,0.0105,-0.0056,0.0191,-0.0031,-0.0109,-0.0198,0.0097,-0.0354
RU758	EUR	0.98436075036075021	0.0,0.0,0.01,0.01,0.0,0.98,0.0	-0.0103,0.0168,0.0068,-0.0079,0.0255,-0.0048,-0.0299,-0.0049,-0.0039,0.0057
RU759	EUR	0.96650304727951797	0.0,0.0,0.02,0.01,0.0,0.97,0.0	-0.0103,0.0160,0.0081,-0.0076,0.0125,-0.0175,-0.0334,0.0075,0.0144,-0.0367
RU764	EUR	0.96349019607843134	0.0,0.0,0.0,0.0,0.03,0.96,0.0	-0.0114,0.0182,0.0062,-0.0073,0.0229,-0.0048,-0.0080,0.0117,-0.0012,0.0094
RU777	EUR	0.99249234196602609	0.0,0.0,0.0,0.01,0.0,0.99,0.0	-0.0107,0.0187,0.0073,-0.0112,0.0198,0.0120,0.0025,0.0045,-0.0002,0.0149
RU785	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0107,0.0171,0.0044,-0.0063,0.0149,0.0143,0.0115,-0.0097,0.0016,0.0350
RU791	EUR	0.78897920989610992	0.04,0.04,0.05,0.07,0.0,0.79,0.0	-0.0088,0.0151,0.0067,-0.0076,0.0126,-0.0010,-0.0240,0.0240,-0.0074,-0.0022
RU797	EUR	0.36937908496732019	0.1,0.01,0.12,0.17,0.22,0.37,0.02	-0.0116,-0.0069,0.0060,-0.0123,0.0049,-0.0373,0.0289,0.0055,-0.0054,-0.0145
RU799	AFR	0.97999999999999998	0.98,0.0,0.0,0.02,0.0,0.0,0.0	0.0255,0.0002,0.0007,-0.0035,-0.0007,-0.0024,0.0063,-0.0137,0.0324,-0.0059
RU802	AFR	0.6882278469408446	0.69,0.02,0.05,0.2,0.0,0.05,0.0	0.0240,0.0021,0.0051,-0.0046,0.0010,0.0112,0.0120,0.0114,-0.0094,0.0130
RU811	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0164,0.0069,-0.0071,0.0212,0.0092,0.0089,0.0149,-0.0131,-0.0164
RU812	EUR	0.98729901677270093	0.0,0.01,0.0,0.0,0.01,0.99,0.0	-0.0103,0.0190,0.0082,-0.0127,0.0167,0.0012,0.0120,-0.0131,-0.0113,0.0090
RU829	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0102,0.0172,0.0077,-0.0081,0.0272,0.0042,0.0120,0.0156,0.0020,-0.0251
RU830	AJ	0.97252661064425761	0.0,0.97,0.0,0.0,0.0,0.02,0.0	-0.0093,0.0161,0.0027,-0.0097,-0.0402,0.0098,-0.0078,0.0015,-0.0016,0.0092
RU833	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0101,0.0182,0.0047,-0.0091,0.0223,-0.0010,-0.0060,0.0138,-0.0091,0.0258
RU836	EUR	0.96920000000000006	0.0,0.03,0.0,0.0,0.0,0.97,0.0	-0.0104,0.0183,0.0056,-0.0104,0.0113,-0.0113,-0.0270,0.0189,0.0006,-0.0104
RU840	EUR	0.98015837104072401	0.0,0.01,0.0,0.0,0.01,0.98,0.0	-0.0098,0.0169,0.0038,-0.0091,0.0235,-0.0009,0.0341,-0.0197,-0.0084,0.0067
RU847	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0112,0.0175,0.0067,-0.0090,0.0238,0.0098,0.0039,-0.0104,-0.0030,0.0033
RU848	AFR	0.94191919191919182	0.94,0.0,0.01,0.03,0.0,0.02,0.0	0.0294,-0.0019,0.0036,-0.0033,0.0137,-0.0027,0.0025,-0.0253,0.0053,-0.0102
RU855	EUR	0.49118676742360956	0.0,0.48,0.0,0.02,0.0,0.49,0.0	-0.0095,0.0165,0.0067,-0.0112,-0.0211,0.0030,-0.0057,0.0015,0.0195,-0.0195
RU857	EUR	0.98588235294117654	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0103,0.0181,0.0052,-0.0094,0.0276,-0.0007,-0.0152,-0.0186,0.0045,-0.0065
RU858	DOMI	0.87991649740232991	0.01,0.0,0.09,0.88,0.0,0.02,0.0	0.0071,0.0058,0.0076,0.0017,-0.0070,0.0086,0.0265,-0.0134,0.0108,-0.0213
RU862	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0104,0.0171,0.0081,-0.0093,0.0383,0.0077,0.0254,0.0192,-0.0062,0.0125
RU864	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0105,0.0178,0.0077,-0.0097,0.0258,0.0086,0.0089,0.0132,-0.0028,-0.0084
RU866	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0104,0.0176,0.0065,-0.0049,0.0226,-0.0040,0.0000,0.0082,0.0118,-0.0339
RU867	EUR	0.89440510120541072	0.0,0.01,0.07,0.02,0.0,0.89,0.0	-0.0096,0.0165,0.0104,-0.0108,0.0228,0.0112,0.0198,-0.0162,0.0228,-0.0346
RU880	AFR	0.93407692307692314	0.93,0.0,0.01,0.06,0.0,0.0,0.0	0.0297,-0.0021,0.0035,-0.0041,0.0044,0.0020,0.0112,-0.0028,-0.0015,0.0033
RU883	DOMI	0.49344823202689336	0.02,0.0,0.48,0.49,0.0,0.0,0.01	0.0020,0.0058,0.0105,0.0105,-0.0017,-0.0122,-0.0185,0.0154,-0.0014,-0.0039
RU886	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0104,0.0183,0.0089,-0.0067,0.0243,-0.0031,-0.0005,-0.0190,0.0117,0.0112
RU905	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0324,-0.0025,0.0011,-0.0025,0.0007,-0.0077,0.0063,-0.0033,-0.0166,-0.0027
RU915	EUR	0.85065181231025633	0.01,0.14,0.0,0.0,0.0,0.85,0.0	-0.0104,0.0174,0.0008,-0.0119,-0.0139,0.0117,0.0104,0.0202,-0.0092,-0.0022
RU924	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0103,0.0174,0.0069,-0.0100,0.0208,0.0140,0.0024,0.0147,-0.0000,0.0244
RU939	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0100,0.0175,0.0087,-0.0049,0.0175,0.0075,0.0077,0.0078,-0.0120,0.0009
RU943	AJ	0.95179212943918823	0.0,0.95,0.0,0.0,0.0,0.05,0.0	-0.0083,0.0155,0.0038,-0.0130,-0.0355,-0.0089,0.0190,-0.0019,0.0069,0.0009
RU967	EUR	0.98816666666666664	0.0,0.0,0.0,0.01,0.0,0.99,0.0	-0.0110,0.0182,0.0056,-0.0068,0.0091,-0.0069,-0.0097,-0.0021,-0.0031,-0.0134
RU997	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0293,-0.0006,-0.0006,0.0001,0.0018,-0.0071,0.0012,-0.0108,0.0094,0.0033
RU1001	EUR	0.95636684840712305	0.0,0.03,0.01,0.01,0.0,0.96,0.0	-0.0097,0.0183,0.0047,-0.0081,0.0009,-0.0102,-0.0253,-0.0130,-0.0132,0.0076
RU1002	EUR	1.0	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0103,0.0158,0.0069,-0.0074,0.0196,-0.0023,0.0128,-0.0189,-0.0046,0.0123
RU1005	AMR	0.69763333776690628	0.0,0.0,0.7,0.3,0.0,0.0,0.0	-0.0026,0.0107,0.0110,0.0047,-0.0030,-0.0106,-0.0044,-0.0181,0.0054,0.0052
RU1007	EUR	0.98699999999999999	0.0,0.01,0.0,0.01,0.0,0.99,0.0	-0.0102,0.0156,0.0084,-0.0074,0.0194,-0.0089,-0.0007,-0.0395,-0.0179,0.0054
RU1019	EUR	0.9961823361823362	0.0,0.0,0.0,0.0,0.0,1.0,0.0	-0.0102,0.0182,0.0074,-0.0108,0.0206,-0.0024,-0.0181,-0.0179,0.0023,0.0153
RU1026	EUR	0.90862355183516197	0.02,0.05,0.0,0.02,0.0,0.91,0.0	-0.0094,0.0164,0.0056,-0.0104,-0.0010,-0.0051,-0.0070,-0.0235,0.0062,-0.0039
RU1032	AFR	0.91638102026023982	0.92,0.0,0.01,0.08,0.0,0.0,0.0	0.0200,0.0033,0.0009,-0.0009,0.0035,0.0060,0.0232,0.0030,0.0058,-0.0118
RU1041	EUR	0.99319999999999997	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0107,0.0170,0.0087,-0.0068,0.0247,-0.0212,-0.0145,-0.0263,0.0076,0.0013
RU1043	EUR	0.99224761904761893	0.0,0.01,0.0,0.0,0.0,0.99,0.0	-0.0109,0.0171,0.0075,-0.0081,0.0217,-0.0166,-0.0256,0.0038,-0.0113,0.0318
RU1044	AFR	1.0	1.0,0.0,0.0,0.0,0.0,0.0,0.0	0.0286,-0.0006,0.0004,-0.0001,-0.0003,-0.0004,-0.0016,-0.0129,0.0013,0.0011
RU1054	AMR	0.95699603174603165	0.0,0.0,0.96,0.02,0.0,0.0,0.02	-0.0097,0.0070,0.0135,0.0172,-0.0073,0.0161,-0.0049,0.0222,0.0120,-0.0034
